date,open,high,low,close,volume
2024-09-09,151.99,153.08,151.76,152.92,2648128
2024-09-10,154.7,156.48,152.95,153.65,1526234
2024-09-11,152.86,152.97,151.45,152.12,2567384
2024-09-12,150.36,150.97,149.85,150.34,993087
2024-09-13,148.9,150.24,148.7,150.2,1428528
2024-09-16,147.16,149.08,145.87,146.17,1997928
2024-09-17,147.8,148.1,147.12,147.96,1661972
2024-09-18,147.78,148.08,147.27,147.95,2010856
2024-09-19,146.84,147.23,146.19,146.53,2234261
2024-09-20,148.34,149.2,148.18,148.88,2230665
2024-09-23,145.93,146.49,145.27,145.97,2541630
2024-09-24,142.53,143.66,142.16,142.29,1516123
2024-09-25,141.98,143.37,139.18,141.65,2647963
2024-09-26,140.71,141.76,138.75,141.12,3261686
2024-09-27,139.86,140.01,137.63,138.77,2243143
2024-09-30,137.75,137.88,137.1,137.35,1461128
2024-10-01,137.26,137.53,135.72,137.33,1625594
2024-10-02,136.74,139.86,136.16,137.59,1541369
2024-10-03,135.72,135.76,135.31,135.48,2451529
2024-10-04,134.58,135.67,134.21,134.83,2662750
2024-10-07,133.0,134.17,130.39,131.27,1087511
2024-10-08,130.58,131.33,127.57,129.8,2903429
2024-10-09,132.14,132.53,129.23,129.61,2184176
2024-10-10,130.42,130.64,130.36,130.38,1874110
2024-10-11,130.83,131.56,130.39,130.63,1984264
2024-10-14,132.82,136.38,132.21,133.89,2358869
2024-10-15,132.42,132.5,132.17,132.48,2492974
2024-10-16,131.5,131.86,131.18,131.38,2839286
2024-10-17,129.18,130.01,127.42,128.97,2546268
2024-10-18,132.33,132.87,131.28,132.18,1704392
2024-10-21,133.37,134.12,133.25,133.72,1623146
2024-10-22,135.21,135.86,135.09,135.83,1158308
2024-10-23,133.94,133.94,132.35,132.79,3052543
2024-10-24,134.95,135.91,134.93,135.25,1817433
2024-10-25,135.91,137.06,134.72,135.01,1856639
2024-10-28,139.37,139.47,137.95,138.71,2253488
2024-10-29,137.51,140.87,137.14,137.6,2653567
2024-10-30,135.47,137.59,133.69,135.66,1765434
2024-10-31,136.05,137.27,135.29,137.03,1383705
2024-11-01,137.31,139.06,136.58,138.45,2314039
2024-11-04,136.4,138.26,135.78,138.25,2374849
2024-11-05,138.77,139.52,137.42,138.17,1950695
2024-11-06,138.84,138.89,137.47,137.98,2146504
