user_id,symbol,side,qty,price,fee,timestamp
user_022,GBPUSD,SELL,2.4761,29.8115,0.0738,2025-03-16
user_173,EURUSD,SELL,4.6937,211.7859,0.9941,2025-08-24
user_070,TSLA,BUY,3.0568,30.0271,0.0918,2025-04-09
user_114,BTCUSD,SELL,4.661,296.0587,1.3799,2025-07-16
user_142,GBPUSD,SELL,1.7009,244.7759,0.4163,2025-02-26
user_040,XAUUSD,BUY,1.7429,284.4383,0.4957,2025-07-02
user_153,AAPL,BUY,2.6351,234.2583,0.6173,2025-03-05
user_046,GBPUSD,SELL,3.5677,169.7293,0.6055,2025-04-14
user_168,AAPL,BUY,6.7842,37.8033,0.2565,2025-04-16
user_186,MSFT,BUY,3.6841,150.3244,0.5538,2025-06-14
user_145,ETHUSD,BUY,4.0104,21.6095,0.0867,2025-07-20
user_065,EURUSD,BUY,3.4103,40.0513,0.1366,2025-03-05
user_015,TSLA,SELL,4.9216,225.0832,1.1078,2025-07-09
user_181,TSLA,SELL,2.4686,177.0938,0.4372,2025-07-18
user_140,GBPUSD,SELL,3.799,89.2851,0.3392,2025-05-22
user_117,MSFT,SELL,5.1605,261.2367,1.3481,2025-08-21
user_130,EURUSD,SELL,4.6388,26.77,0.1242,2025-07-16
user_053,TSLA,BUY,4.086,168.387,0.688,2025-05-24
user_128,ETHUSD,BUY,4.1153,190.6726,0.7847,2025-06-15
user_178,AAPL,SELL,5.4674,210.2459,1.1495,2025-06-13
user_143,TSLA,SELL,14.7598,177.3727,2.618,2025-07-17
user_075,AAPL,SELL,2.5589,270.8416,0.6931,2025-03-02
user_135,AAPL,BUY,15.0877,86.8274,1.31,2025-03-11
user_094,MSFT,SELL,2.4968,60.4957,0.151,2025-04-15
user_087,XAUUSD,BUY,1.1339,177.1786,0.2009,2025-08-04
user_103,TSLA,BUY,2.9581,27.9317,0.0826,2025-02-28
user_063,AAPL,SELL,4.9781,96.3106,0.4794,2025-08-22
user_058,AAPL,SELL,12.4997,245.0695,3.0633,2025-04-08
user_037,ETHUSD,SELL,2.3654,273.7235,0.6475,2025-03-10
user_022,MSFT,SELL,5.4475,247.6485,1.3491,2025-05-05
user_031,EURUSD,SELL,1.8365,280.1549,0.5145,2025-06-10
user_085,EURUSD,SELL,12.1688,260.4888,3.1698,2025-06-13
user_117,EURUSD,BUY,8.229,296.2465,2.4378,2025-07-03
user_039,EURUSD,BUY,3.0602,49.373,0.1511,2025-06-28
user_155,BTCUSD,BUY,1.4508,291.1247,0.4224,2025-05-18
user_125,TSLA,SELL,9.1369,253.4251,2.3155,2025-03-02
user_193,MSFT,SELL,3.7859,127.3718,0.4822,2025-07-22
user_125,AAPL,SELL,8.5223,85.6551,0.73,2025-06-15
user_104,BTCUSD,SELL,4.068,231.8513,0.9432,2025-05-26
user_057,MSFT,BUY,4.1711,283.7059,1.1834,2025-06-14
user_178,EURUSD,SELL,3.0955,137.9105,0.4269,2025-08-11
user_189,MSFT,SELL,5.8927,43.102,0.254,2025-06-24
user_117,BTCUSD,BUY,4.3587,72.4496,0.3158,2025-08-20
user_054,XAUUSD,SELL,5.5216,203.1517,1.1217,2025-07-14
user_187,XAUUSD,BUY,1.6153,38.4995,0.0622,2025-08-24
user_069,TSLA,BUY,8.7286,203.1141,1.7729,2025-06-07
user_026,GBPUSD,BUY,10.285,158.4482,1.6296,2025-03-01
user_144,EURUSD,BUY,4.3466,256.3935,1.1144,2025-05-30
user_007,TSLA,BUY,13.9635,263.6128,3.681,2025-04-10
user_131,ETHUSD,SELL,11.6255,124.0274,1.4419,2025-04-05
user_173,EURUSD,SELL,5.9729,212.7035,1.2705,2025-08-23
user_033,AAPL,BUY,9.2182,67.8244,0.6252,2025-05-05
user_067,TSLA,BUY,7.6527,120.712,0.9238,2025-06-24
user_126,TSLA,BUY,1.4116,134.0551,0.1892,2025-07-30
user_035,EURUSD,BUY,3.4499,156.6269,0.5403,2025-03-20
user_174,EURUSD,BUY,6.2372,236.1776,1.4731,2025-04-01
user_200,TSLA,BUY,10.7744,259.3973,2.7949,2025-03-11
user_172,EURUSD,BUY,1.7717,285.1086,0.5051,2025-03-12
user_099,ETHUSD,BUY,1.4593,140.445,0.205,2025-05-26
user_130,EURUSD,BUY,3.9223,294.1096,1.1536,2025-06-27
user_070,AAPL,SELL,1.173,191.8533,0.225,2025-05-22
user_066,MSFT,BUY,3.8441,75.843,0.2915,2025-06-17
user_063,ETHUSD,SELL,5.0529,58.6546,0.2964,2025-04-22
user_009,ETHUSD,SELL,2.3073,106.9718,0.2468,2025-04-13
user_199,MSFT,SELL,3.9055,201.9295,0.7886,2025-03-15
user_198,MSFT,BUY,7.1928,55.8344,0.4016,2025-03-01
user_193,EURUSD,BUY,2.9501,57.2181,0.1688,2025-04-19
user_022,TSLA,BUY,2.52,31.1672,0.0785,2025-05-03
user_037,TSLA,BUY,3.803,65.8684,0.2505,2025-06-16
user_046,AAPL,BUY,2.179,112.4596,0.245,2025-05-06
user_150,MSFT,BUY,13.1818,16.5971,0.2188,2025-05-27
user_013,MSFT,SELL,4.1419,240.8261,0.9975,2025-03-06
user_059,MSFT,BUY,2.6649,262.7057,0.7001,2025-08-18
user_111,AAPL,SELL,4.6107,276.6574,1.2756,2025-05-01
user_161,GBPUSD,BUY,3.7909,242.8294,0.9205,2025-07-08
user_057,TSLA,SELL,3.5517,225.7366,0.8017,2025-06-16
user_069,GBPUSD,BUY,2.9497,114.2893,0.3371,2025-06-06
user_049,MSFT,SELL,2.8706,147.9343,0.4247,2025-07-03
user_122,BTCUSD,SELL,1.6338,141.4477,0.2311,2025-06-21
user_198,ETHUSD,BUY,9.2085,225.5039,2.0766,2025-03-05
user_095,EURUSD,SELL,5.7313,155.9448,0.8938,2025-05-15
user_054,MSFT,SELL,4.8878,161.9735,0.7917,2025-08-03
user_106,XAUUSD,BUY,3.7556,162.1221,0.6089,2025-04-19
user_114,MSFT,SELL,2.2857,76.5288,0.1749,2025-05-18
user_197,MSFT,SELL,2.5759,10.921,0.0281,2025-07-23
user_039,EURUSD,BUY,1.7275,100.0134,0.1728,2025-03-05
user_008,EURUSD,BUY,2.7513,40.3298,0.111,2025-04-16
user_031,EURUSD,BUY,2.1193,267.7055,0.5673,2025-04-19
user_076,TSLA,SELL,11.1594,237.8055,2.6538,2025-05-09
user_152,TSLA,BUY,6.8825,152.0404,1.0464,2025-03-06
user_104,ETHUSD,BUY,4.2479,178.1181,0.7566,2025-07-11
user_179,TSLA,BUY,2.4187,224.9046,0.544,2025-08-01
user_011,TSLA,BUY,2.1764,88.7139,0.1931,2025-04-01
user_190,AAPL,BUY,3.6175,112.1093,0.4056,2025-08-15
user_120,GBPUSD,SELL,7.0689,110.0485,0.7779,2025-04-24
user_179,XAUUSD,SELL,12.7515,296.022,3.7747,2025-05-11
user_139,GBPUSD,BUY,1.7522,35.0258,0.0614,2025-03-28
user_139,EURUSD,SELL,5.6847,50.0934,0.2848,2025-03-16
user_044,XAUUSD,SELL,2.7445,60.0373,0.1648,2025-06-09
user_119,AAPL,SELL,3.0275,89.1031,0.2698,2025-06-01
user_026,XAUUSD,BUY,4.175,126.0671,0.5263,2025-06-05
